Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Precio
Frühlingsplätzchen Riesling GG 2015,Germany,Nahe,Emrich-Schönleber,4.2,39,39.9,2015,39,9
Sauvignon Blanc Trocken 2018,Germany,Nahe,Genheimer Kiltz,3.9,39,10.28,2018,10,28
Meursault 1er Cru 'Genevrières' Blanc 2016,France,Meursault 1er Cru 'Genevrières',Bouchard Père & Fils,4.2,39,94.57,2016,94,57
Capitel Croce 2018,Italy,Veneto,Anselmi,3.9,39,13.48,2018,13,48
Cicinis 2017,Italy,Collio,Attems,3.7,39,24.24,2017,24,24
Ermitage Ex-Voto Blanc 2012,France,Hermitage,E. Guigal,4.4,39,189.0,2012,189
1851 Reserva Chardonnay 2017,Chile,Casablanca Valley,Ochagavia,3.6,39,11.47,2017,11,47
Sauvignon Blanc 2018,Austria,Carnuntum,Markowitsch,3.9,39,10.9,2018,10,9
Chardonnay II 2018,Germany,Pfalz,Von Winning,3.9,39,14.5,2018,14,5
Alvarinho 2018,Portugal,Tejo,Fiuza,3.6,39,5.75,2018,5,75
Weisser Burgunder Trocken (Pinot Blanc Dry) 2018,Germany,Pfalz,Ökonomierat Rebholz,3.5,39,11.9,2018,11,9
Sauvignon Blanc 2019,Germany,Rheinhessen,Peth Wetz,3.9,39,8.0,2019,8
Sauvignon Blanc 2018,South Africa,Stellenbosch,Aaldering,4.0,39,19.9,2018,19,9
Chardonnay 2017,Austria,Burgenland,Esterházy,3.4,39,9.68,2017,9,68
Sauvignon Blanc 2017,Chile,Aconcagua Costa,Arboleda,3.7,39,18.41,2017,18,41
Campinovi Toscana 2017,Italy,Toscana,Dievole,3.5,39,25.9,2017,25,9
Sulzfelder Silvaner Alte Reben 2018,Germany,Franken,Zehnthof Luckert,3.7,39,16.73,2018,16,73
Saumur Blanc 2017,France,Saumur,Langlois-Chateau,3.7,39,12.14,2017,12,14
Grüner Veltliner Berg Vogelsang 2012,Austria,Kamptal,Weingut Bründlmayer,3.8,39,17.13,2012,17,13
Gennen Sauvignon 2018,Italy,Südtirol - Alto Adige,Nals Margreid,3.9,39,11.6,2018,11,6
Granée Gavi del Comune di Gavi 2019,Italy,Gavi,Batasiolo,3.8,39,10.5,2019,10,5
Maximin Grünhäuser Bruderberg Riesling 2018,Germany,Mosel,Maximin Grünhaus,4.1,39,22.23,2018,22,23
Leutschacher Chardonnay 2017,Austria,Südsteiermark,Erwin Sabathi,3.6,39,15.65,2017,15,65
Sauvignon Blanc 2019,South Africa,Robertson,Excelsior,3.2,39,6.95,2019,6,95
Coume Gineste Côtes Catalanes 2011,France,Côtes Catalanes,Gauby,3.8,39,67.26,2011,67,26
Iphöfer Kalb Silvaner 2018,Germany,Franken,Hans Wirsching,3.7,39,12.19,2018,12,19
Bockstein Ockfen Riesling Kabinett 2018,Germany,Ockfen,St. Urbans-Hof,3.8,39,14.9,2018,14,9
Grüner Veltliner Federspiel Kollmitz 2018,Austria,Wachau,Domäne Wachau,3.9,39,13.16,2018,13,16
White 2018,United States,Washington,Prayers Of Sinners & Saints,3.6,39,9.49,2018,9,49
Branco 2018,Portugal,Lisboa,Cascas,3.6,39,5.36,2018,5,36
Grüner Veltliner Ried Loibenberg 2016,Austria,Wachau,Pichler-Krutzler,3.9,39,32.66,2016,32,66
Trittenheimer Apotheke Riesling Kabinett 2018,Germany,Mosel,Ansgar Clüsserath,3.9,39,13.55,2018,13,55
Meursault 'Les Chevalières' 2017,France,Meursault,Xavier Monnot,4.2,39,62.5,2017,62,5
Viognier 2017,Germany,Pfalz,Oliver Zeter,4.1,39,16.52,2017,16,52
Retsina 2018,Greece,Markopoulo,Papagiannakos,3.2,39,7.2,2018,7,2
Belvento Vermentino (I Vini Del Mare) 2019,Italy,Toscana,Petra,3.8,39,9.95,2019,9,95
Vinha Centenária Reserva Branco 2011,Portugal,Douro,Dona Berta,4.2,39,24.27,2011,24,27
St. Andrews Chardonnay 2016,Australia,Clare Valley,Taylors / Wakefield,3.7,39,21.82,2016,21,82
Le Sabbie dell’Etna Bianco 2019,Italy,Etna,Firriato,3.5,39,13.57,2019,13,57
Poggio dei Gelsi Est!Est!Est! di Montefiascone 2019,Italy,Est! Est!! Est!!! di Montefiascone,Falesco,3.8,39,8.9,2019,8,9
Johannisberger Klaus Riesling GG 2016,Germany,Rheingau,Prinz von Hessen,4.1,39,28.17,2016,28,17
Old Winery Chardonnay 2017,Australia,Hunter Valley,Tyrrell's,3.4,39,8.72,2017,8,72
Villa Paulus Pouilly-Fumé 2018,France,Pouilly-Fumé,Domaine Masson-Blondelet,3.9,39,18.04,2018,18,04
Grauer Burgunder Trocken 2016,Germany,Rheinhessen,Wittmann,3.4,39,11.4,2016,11,4
Frauenberg Riesling GG 2017,Germany,Rheinhessen,Battenfeld Spanier,4.2,39,42.51,2017,42,51
Generations Riesling 2017,Germany,Mosel,Axel Pauly,3.9,40,9.9,2017,9,9
Douro Coche Branco 2018,Portugal,Douro,Niepoort,4.5,40,66.29,2018,66,29
Riesling Classic 2012,Germany,Rheingau,Schloss Reinhartshausen,3.5,40,12.49,2012,12,49
Montiggl Riesling 2019,Italy,Südtirol - Alto Adige,St. Michael-Eppan,4.0,40,13.25,2019,13,25
Pinot Grigio Söll 2018,Italy,Trentino-Alto Adige,Cantina Kaltern,3.8,40,11.6,2018,11,6
J² Gau-Odernheimer Riesling 2018,Germany,Rheinhessen,Becker Landgraf,4.2,40,20.96,2018,20,96
Wiener Klassik 2018,Austria,Wien,Mayer am Pfarrplatz,3.6,40,11.99,2018,11,99
Allgo Branco 2014,Portugal,Dão,CM,3.8,40,12.28,2014,12,28
Chardonnay (Padstal) 2019,South Africa,Coastal Region,MAN,3.5,40,5.74,2019,5,74
Steinterrassen 2011,Germany,Nahe,Gut Hermannsberg,3.9,40,21.4,2011,21,4
Riesling 2016,Germany,Nahe,Korrell,3.9,40,11.69,2016,11,69
Grillo Sicilia 2019,Italy,Terre Siciliane,Settesoli,3.6,40,5.79,2019,5,79
Deidesheimer Herrgottsacker Riesling Trocken 2017,Germany,Pfalz,Georg Mosbacher,3.8,40,12.25,2017,12,25
Steillage Riesling Trocken 2018,Germany,Mosel,Weinhaus Gebruder Steffen,4.0,40,9.95,2018,9,95
Pinot Grigio 2018,Italy,delle Venezie,Villa Cavarena,3.6,40,8.94,2018,8,94
Sauvignon Blanc 2018,Germany,Rheinhessen,Sander,3.9,40,9.9,2018,9,9
Corton-Charlemagne Grand Cru 2015,France,Corton-Charlemagne Grand Cru,Domaine Henri Boillot,4.3,40,189.0,2015,189
Stromberg Riesling GG 2017,Germany,Nahe,Schäfer-Fröhlich,4.2,40,45.84,2017,45,84
Sauvignon Blanc 2018,South Africa,Stellenbosch,Peter Falke,3.6,40,13.95,2018,13,95
Siglo de Oro Reserva Chardonnay 2018,Chile,Central Valley,Santa Helena,3.5,40,6.2,2018,6,2
Faß 12 Ayler Kupp Unterstenberg Riesling 2018,Germany,Mosel,Peter Lauer,4.1,40,21.94,2018,21,94
Mount Hermon White 2019,Israel,Galilee,Hermon,3.6,40,9.95,2019,9,95
Amos 2017,Italy,Trentino-Alto Adige,Kurtatsch (Cortaccia),3.8,40,21.9,2017,21,9
Les Châtillons Chablis 2015,France,Chablis,Domaine des Hâtes,4.1,40,19.43,2015,19,43
RK Riesling 2018,Germany,Mosel,Reichsgraf von Kesselstatt,3.7,40,8.92,2018,8,92
Chassagne-Montrachet Blanc 2016,France,Chassagne-Montrachet,Louis Jadot,4.4,40,71.39,2016,71,39
Bernkasteler Badstube Riesling Auslese ** 2015,Germany,Mosel,Markus Molitor,4.3,40,35.09,2015,35,09
Del Cerro Verdicchio di Matelica 2019,Italy,Verdicchio di Matelica,Belisario,3.6,40,8.33,2019,8,33
Sand & Kalk 2015,Austria,Steiermark,Herrenhof Lamprecht,4.1,40,24.91,2015,24,91
Klassiek Wit 2018,South Africa,Western Cape,Oude Kaap,2.8,40,3.75,2018,3,75
Wehlener Sonnenuhr Riesling Auslese 2016,Germany,Mosel,Markus Molitor,4.1,40,76.04,2016,76,04
Spiegel 2016,Austria,Wagram,Bernhard Ott,3.9,40,29.9,2016,29,9
Les Vignes de Saint Laurent l'Abbaye Pouilly-Fumé 2017,France,Pouilly-Fumé,Domaine Chatelain,3.9,40,13.6,2017,13,6
Toreye Riesling Alte Reben 2018,Germany,Pfalz,Eymann,3.8,40,14.9,2018,14,9
Meursault 1er Cru Les Genevrières 2015,France,Meursault Premier Cru,Domaine Henri Boillot,4.2,40,119.0,2015,119
Niederberg Helden Riesling GG 2016,Germany,Mosel,Schloss Lieser,3.8,40,29.9,2016,29,9
Hermannsberg GG 2014,Germany,Nahe,Gut Hermannsberg,4.1,40,35.0,2014,35
Alte Reben Riesling Trocken 2019,Germany,Mosel,Carl Loewen,3.9,40,11.0,2019,11
Halgans Riesling Trocken 2017,Germany,Nahe,Emrich-Schönleber,3.9,40,19.9,2017,19,9
Les Chailloux Silex Pouilly-Fumé 2018,France,Pouilly-Fumé,Domaine Chatelain,3.8,40,14.55,2018,14,55
Wachstum Bodenstein Riesling 2016,Austria,Wachau,Prager,4.0,40,37.83,2016,37,83
Espigueiro 2018,Portugal,Vinho Verde,Casa Agricola de Compostela,3.6,40,5.5,2018,5,5
Pass-O 2018,Italy,Puglia,Menhir,3.9,40,10.95,2018,10,95
Graacher Himmelreich Riesling Spätlese 2015,Germany,Mosel,Markus Molitor,4.1,40,23.95,2015,23,95
Saarburger Rausch Riesling Auslese 2018,Germany,Mosel,Forstmeister Geltz-Zilliken,4.1,40,54.95,2018,54,95
Genèse Riesling 2011,France,Alsace,Vignoble des 2 Lunes,4.0,40,14.57,2011,14,57
Roero Arneis 2019,Italy,Roero,Pescaja,4.0,40,10.92,2019,10,92
Terroir d'Altitude Chardonnay 2017,France,Pays d'Oc,Fortant,3.9,40,9.5,2017,9,5
Tertiär Sauvignon Blanc Trocken 2018,Germany,Pfalz,Wageck-Pfaffmann,3.5,40,9.5,2018,9,5
Morena Bianca Lugana 2019,Italy,Lugana,Biscardo,3.8,40,8.76,2019,8,76
Silvaner Escherndorfer 2016,Germany,Franken,Rainer Sauer,3.8,40,11.51,2016,11,51
Volz Riesling 2015,Germany,Wiltingen,Van Volxem,4.0,40,31.68,2015,31,68
Vigne di Catullo Riserva Lugana 2016,Italy,Lugana,Roveglia,4.0,40,12.58,2016,12,58
Tacheles 2018,Germany,Rheinhessen,Weinreich,3.8,40,13.4,2018,13,4
White Block Chardonnay 2018,Australia,Langhorne Creek,Bremerton,3.6,40,19.3,2018,19,3
Saint-Véran 2018,France,Saint-Véran,Trénel,3.8,40,14.95,2018,14,95
Chardonnay Leithakalk 2017,Austria,Burgenland,Kollwentz,3.7,40,31.63,2017,31,63
Sauvignon Blanc 2019,South Africa,Coastal Region,Steenberg,3.9,40,13.75,2019,13,75
Petit Chablis 2018,France,Petit Chablis,Domaine Philippe Goulley,3.6,41,17.2,2018,17,2
Dajoar Riesling 2018,Germany,Mosel,Andreas Bender,4.1,41,7.32,2018,7,32
Russiz Superiore Col Disôre Bianco Collio 2016,Italy,Collio,Marco Felluga,4.3,41,35.99,2016,35,99
Oppenheim Riesling 2018,Germany,Rheinhessen,Kühling-Gillot,3.9,41,20.88,2018,20,88
Felseneck Riesling Kabinett 2018,Germany,Nahe,Schäfer-Fröhlich,3.8,41,16.58,2018,16,58
Halenberg Riesling GG 2018,Germany,Nahe,Emrich-Schönleber,4.2,41,42.0,2018,42
Passerina 2016,Italy,Terre di Chieti,Villamedoro,3.3,41,5.7,2016,5,7
Black Label Nik Weis Goldtröpfchen Kabinett 2018,Germany,Mosel,St. Urbans-Hof,4.3,41,15.99,2018,15,99
Chardonnay II 2017,Germany,Pfalz,Von Winning,3.6,41,14.5,2017,14,5
Sauvignon Blanc 2019,Germany,Rheinhessen,Krämer - Straight,4.1,41,8.99,2019,8,99
Nussberg Grüner Veltliner 2018,Austria,Wien,Wieninger,3.7,41,13.14,2018,13,14
Chardonnay 2018,France,Pays d'Oc,Cap Cette,3.3,41,7.5,2018,7,5
Branco 2017,Portugal,Dão,Quinta da Ponte Pedrinha,3.9,41,8.8,2017,8,8
La Soufrandiére Le Clos de Grand Pére Macon-Vinzelles 2017,France,Mâcon-Vinzelles,Bret Brothers & The Soufrandière,4.1,41,27.5,2017,27,5
Sauvignon Blanc 2018,Germany,Pfalz,Heinrich Spindler,3.8,41,10.5,2018,10,5
Scheurebe Trocken 2018,Germany,Rheinhessen,Wittmann,3.6,41,15.25,2018,15,25
Pouilly-Fumé Terres Blanches 2018,France,Pouilly-Fumé,Pascal Jolivet,3.8,41,26.18,2018,26,18
Niederberg Helden Riesling Spätlese Feinherb 2018,Germany,Mosel,Weingut Thanisch,4.1,41,12.85,2018,12,85
Chardonnay 2018,Germany,Pfalz,Dr. Von Bassermann-Jordan,3.4,41,9.5,2018,9,5
Frühtau Riesling Trocken 2016,Germany,Nahe,Emrich-Schönleber,4.0,41,17.9,2016,17,9
Paulessen Riesling 2018,Germany,Mosel,Andreas Bender,3.8,41,7.32,2018,7,32
Reserva Chardonnay (Classic) 2019,Chile,Central Valley,Montes,3.6,41,6.89,2019,6,89
Domaine Sainte Barbe Les Tilles Mâcon-Villages 2018,France,Mâcon-Villages,Chaland Jean-Marie,3.6,41,14.5,2018,14,5
Montagny 1er Cru 'Les Saint Morilles' 2015,France,Montagny 1er Cru 'Saint-Morille',Berthenet,3.7,41,19.37,2015,19,37
Sancerre Blanc 2017,France,Sancerre,Langlois-Chateau,3.7,41,10.0,2017,10
Ευχές (Wishes) 2015,Greece,Macedonia,Pieria Eratini (Πιερία Ερατεινή),4.0,41,13.95,2015,13,95
Vieilles Vignes Châteauneuf-du-Pape Blanc 2015,France,Châteauneuf-du-Pape,Château de Beaucastel,4.4,41,154.99,2015,154,99
Estate Gewürztraminer 2013,France,Alsace Grand Cru,Hugel,4.0,41,20.47,2013,20,47
Chardonnay 2018,Austria,Burgenland,Paul Achs,3.6,41,9.65,2018,9,65
Muskateller Trocken 2018,Germany,Pfalz,Ökonomierat Rebholz,4.1,41,18.94,2018,18,94
Teppo Riesling 2016,Germany,Mosel,Fio,3.7,41,17.79,2016,17,79
Opale 2018,Italy,Vermentino di Sardegna,Mesa,3.9,41,22.5,2018,22,5
Felseneck Riesling GG 2018,Germany,Nahe,Schäfer-Fröhlich,4.3,41,46.79,2018,46,79
Mineral Riesling Trocken 2018,Germany,Nahe,Emrich-Schönleber,3.9,41,14.9,2018,14,9
Heugumber 2017,Germany,Baden,Ziereisen,3.5,41,6.4,2017,6,4
Frühtau Riesling Trocken 2017,Germany,Nahe,Emrich-Schönleber,4.0,41,23.06,2017,23,06
Riesling Trocken 2018,Germany,Nahe,Korrell,3.6,41,9.9,2018,9,9
Kupfergrube GG 2016,Germany,Nahe,Gut Hermannsberg,4.4,42,46.88,2016,46,88
Loibenberg Riesling 2017,Austria,Wachau,Pichler-Krutzler,3.9,42,32.87,2017,32,87
Hyde Vineyard Chardonnay 2016,United States,Los Carneros,Patz & Hall,4.3,42,84.0,2016,84
Pinot Grigio 2018,Italy,Friuli-Venezia Giulia,Sturm,4.0,42,14.43,2018,14,43
Semis Bianco 2015,Italy,Abruzzo,Collefrisio,4.3,42,29.95,2015,29,95
Win Win Riesling 2019,Germany,Pfalz,Von Winning,3.8,42,9.7,2019,9,7
St. Andrews Chardonnay 2017,Australia,Clare Valley,Taylors / Wakefield,4.1,42,20.0,2017,20
Chardonnay Leithakalk 2018,Austria,Burgenland,Kollwentz,3.7,42,20.28,2018,20,28
Oberbergener Bassgeige Weissburgunder 2018,Germany,Baden,Franz Keller,3.8,42,12.5,2018,12,5
Materia Prima 2018,Austria,Wagram,Fritsch,4.3,42,20.84,2018,20,84
Grauburgunder Herrenstück 2015,Germany,Baden,Weingut Holger Koch,3.9,42,14.95,2015,14,95
Classic Chardonnay 2018,Austria,Wien,Wieninger,3.5,42,9.91,2018,9,91
Kallstadter Saumagen Riesling Kabinett Trocken 2018,Germany,Pfalz,Koehler-Ruprecht,3.8,42,12.57,2018,12,57
Ölberg Riesling 2016,Germany,Rheinhessen,Kühling-Gillot,4.2,42,36.95,2016,36,95
Vermentino Isola dei Nuraghi 2018,Italy,Isola dei Nuraghi,Capichera,4.2,42,35.97,2018,35,97
Maximin Grünhäuser Abtsberg Superior 2017,Germany,Mosel,Maximin Grünhaus,4.2,42,25.0,2017,25
Aragosta Vermentino di Sardegna 2019,Italy,Vermentino di Sardegna,Santa Maria La Palma,3.7,42,6.9,2019,6,9
Perdeblokke Sauvignon Blanc 2017,South Africa,Constantia,Klein Constantia,3.9,42,24.91,2017,24,91
Pinot Blanc Tradition 2018,France,Alsace,Emile Beyer,4.0,42,11.49,2018,11,49
Wehlener Sonnenuhr Riesling Kabinett 2018,Germany,Wehlen,Joh. Jos. Prüm,3.9,42,25.47,2018,25,47
Summer In A Bottle White 2019,United States,Long Island,Wölffer Estate,4.0,42,24.9,2019,24,9
Frühlingsplätzchen Riesling GG 2013,Germany,Nahe,Emrich-Schönleber,4.1,42,37.95,2013,37,95
Leflaive & Associes Auxey-Duresses 2016,France,Auxey-Duresses,Domaine Leflaive,3.9,42,49.9,2016,49,9
Gemischter Satz 2017,Austria,Wiener Gemischter Satz,Bernhard Ott,3.6,42,11.02,2017,11,02
Lou Coucardié Blanc 2015,France,Costières-de-Nîmes,Michel Gassier,4.0,42,23.05,2015,23,05
Monferrato Estrosa Bianco 2018,Italy,Monferrato,Pico Maccario,3.5,42,10.4,2018,10,4
Pettenthal Riesling GG 2017,Germany,Rheinhessen,Kühling-Gillot,4.1,42,50.0,2017,50
La Femme Soleil 2018,France,Languedoc-Roussillon,Domaine Hors Champ,3.4,42,21.45,2018,21,45
Meursault Premier Cru 'Les Charmes' 2017,France,Meursault 1er Cru 'Charmes',Domaine du Pavillon,4.2,42,70.0,2017,70
Zakynthino 2016,Greece,Slopes of Enos,Sclavus (Sclavos),3.8,42,17.9,2016,17,9
Tselepos Classic Moschofilero Mantinia 2019,Greece,Mantinia,Κτημα Τσελεπου (Ktima Tselepos),3.8,42,9.95,2019,9,95
Sauvignon Blanc Tradition 2017,Germany,Pfalz,Philipp Kuhn,3.8,42,13.37,2017,13,37
Bianco di Merlot 2017,Switzerland,Ticino,Castello di Morcote,4.0,42,43.87,2017,43,87
T.N. 76 Weissburgunder 2013,Italy,Trentino-Alto Adige,Thomas Niedermayr,3.8,42,33.0,2013,33
Reserva Sauvignon Blanc 2019,Chile,Maule Valley,Viña Palo Alto,3.1,42,6.84,2019,6,84
Frauenberg Riesling GG 2016,Germany,Rheinhessen,Battenfeld Spanier,3.9,42,41.58,2016,41,58
Cirò Bianco 2017,Italy,Cirò,Fattoria San Francesco,3.7,43,5.95,2017,5,95
Picpoul de Pinet 2019,France,Picpoul de Pinet,Domaine de Belle Mare,3.9,43,6.73,2019,6,73
Steinterrassen - Riesling Federspiel 2018,Austria,Wachau,Franz Hirtzberger,3.7,43,19.9,2018,19,9
Corton-Charlemagne Grand Cru Blanc 2016,France,Corton-Charlemagne Grand Cru,Bouchard Père & Fils,4.5,43,178.96,2016,178,96
Steinmühle 2017,Austria,Burgenland,Kollwentz,3.8,43,25.47,2017,25,47
Chablis 2018,France,Chablis,Domaine Philippe Goulley,3.8,43,19.95,2018,19,95
Chardonnay 2017,United States,Long Island,Wölffer Estate,3.6,43,17.9,2017,17,9
Berg Rottland Riesling 2017,Germany,Rheingau,Georg Breuer,4.2,43,38.9,2017,38,9
Chardonnay 2018,United States,Long Island,Wölffer Estate,3.8,43,19.9,2018,19,9
Muscadet-Sèvre et Maine Sur Lie 2019,France,Muscadet-Sevre et Maine,Pépière,3.6,43,9.36,2019,9,36
Riesling Alsace Grand Cru 'Sommerberg' 2016,France,Alsace Grand Cru 'Sommerberg',Albert Boxler,4.0,43,53.22,2016,53,22
Riesling Alsace 2015,France,Alsace,Kuehn,3.6,43,8.48,2015,8,48
Brauneberger Juffer Riesling Kabinett 2018,Germany,Brauneberg,Schloss Lieser,3.9,43,15.9,2018,15,9
Saarburger Rausch Riesling Auslese 2016,Germany,Mosel,Forstmeister Geltz-Zilliken,3.8,43,54.95,2016,54,95
Whitehall Chardonnay 2016,South Africa,Elgin,Neil Ellis,4.0,43,23.79,2016,23,79
Sauvignon Blanc 2019,United States,California,Gallo Family Vineyards,3.5,43,6.05,2019,6,05
Saar Alte Reben Riesling 2015,Germany,Mosel,Markus Molitor,3.9,43,18.95,2015,18,95
Als Wär's ein Stück Von Mir 2016,Germany,Rheinhessen,Weingut Gunderloch,3.6,43,11.4,2016,11,4
Wehlener Sonnenuhr Riesling Kabinett 2017,Germany,Wehlen,Schloss Lieser,3.9,43,14.95,2017,14,95
Fehérburgundi 2015,Hungary,Sopron,Weninger,3.7,43,15.6,2015,15,6
Puligny-Montrachet 2017,France,Puligny-Montrachet,Domaine Henri Boillot,4.3,43,59.9,2017,59,9
Graacher Domprobst Riesling Auslese*** 2003,Germany,Mosel,Markus Molitor,4.1,43,50.0,2003,50
Chardonnay 2019,Australia,South Eastern Australia,Barramundi,3.0,43,6.5,2019,6,5
Chardonnay Bambule! 2015,Austria,Burgenland,Judith Beck,3.9,43,26.9,2015,26,9
Pinot Gris Tradition 2017,France,Alsace,Emile Beyer,3.8,43,13.2,2017,13,2
Burgberg Riesling GG 2015,Germany,Nahe,Diel,4.1,43,42.0,2015,42
Klostersatz Grüner Veltliner 2017,Austria,Wachau,Pichler-Krutzler,3.9,43,15.5,2017,15,5
Circumstance Chenin Blanc 2018,South Africa,Stellenbosch,Waterkloof,3.9,43,19.5,2018,19,5
Hermitage Le Chevalier de Sterimberg 2016,France,Hermitage,Paul Jaboulet Aîné,4.2,43,78.75,2016,78,75
Setzberg - Riesling Smaragd 2017,Austria,Wachau,Franz Hirtzberger,4.2,43,32.0,2017,32
Corton-Charlemagne Grand Cru 2016,France,Corton-Charlemagne Grand Cru,Domaine Henri Boillot,4.5,43,189.0,2016,189
Sancerre Blanc 2018,France,Sancerre,Michel Thomas & Fils,3.7,43,18.08,2018,18,08
Estoras Sauvignon Blanc 2017,Austria,Burgenland,Esterházy,3.6,43,12.25,2017,12,25
Sauvignon Blanc 2019,South Africa,Walker Bay,Southern Right,3.7,43,11.9,2019,11,9
Wachenheimer Goldbächel P.C 2016,Germany,Pfalz,Dr. Bürklin-Wolf,4.0,43,29.0,2016,29
Pechstein GG 2017,Germany,Pfalz,Reichsrat von Buhl,4.1,43,45.0,2017,45
Gelblack Riesling Trocken 2019,Germany,Rheingau,Schloss Johannisberg,4.0,43,15.0,2019,15
Südtiroler Sauvignon Porphyr & Kalk 2018,Italy,Südtirol - Alto Adige,Ignaz Niedrist,4.0,43,20.9,2018,20,9
Steinhaus Riesling Trocken 2016,Germany,Rheingau,Trenz,3.8,43,9.21,2016,9,21
Brauneberger Riesling Trocken 2018,Germany,Brauneberg,Fritz Haag,3.8,43,14.5,2018,14,5
Meursault-Charmes Premier Cru 2016,France,Meursault 1er Cru 'Charmes',Domaine Jean Monnier & Fils,3.8,43,86.62,2016,86,62
Pouilly-Fumé 2016,France,Pouilly-Fumé,Langlois-Chateau,3.7,44,21.66,2016,21,66
Chenin Blanc 2018,Germany,Pfalz,Oliver Zeter,4.0,44,22.0,2018,22
Coronata Integration 2016,South Africa,Durbanville,Nitída,4.3,44,17.5,2016,17,5
Niederberg Helden Riesling GG 2018,Germany,Mosel,Schloss Lieser,3.9,44,29.9,2018,29,9
Mâcon-Villages 2016,France,Mâcon-Villages,Daniel Pollier,3.6,44,9.54,2016,9,54
Lesca Chardonnay 2018,South Africa,Robertson,De Wetshof,3.9,44,13.58,2018,13,58
Weisser Burgunder I 2013,Germany,Pfalz,Von Winning,4.0,44,29.95,2013,29,95
Gavi 2018,Italy,Gavi,Giacosa Fratelli,3.7,44,9.95,2018,9,95
Sauvignon Blanc (Markgräflerland) 2018,Germany,Baden,Martin Waßmer,3.5,44,10.9,2018,10,9
Auxerrois Grand Premier Cru 2017,Luxembourg,Côtes de Grevenmacher,Bernard-Massard,3.8,44,12.7,2017,12,7
Le Creete 2019,Italy,Lugana,Ottella,4.0,44,11.9,2019,11,9
Weissburgunder Steirische Klassik 2017,Austria,Südsteiermark,Tement,3.8,44,14.4,2017,14,4
Wunderwerk Riesling 2016,Germany,Rheinhessen,Dreissigacker,3.9,44,20.96,2016,20,96
Stettener Riesling Schilfsandstein 2016,Germany,Württemberg,Beurer,3.7,44,16.35,2016,16,35
Chablis 2018,France,Chablis,Joseph Drouhin,3.6,44,19.3,2018,19,3
Ried Steinriegl Gelber Muskateller 2018,Austria,Südsteiermark,Wohlmuth,3.8,44,15.65,2018,15,65
Vom Schiefer 2018,Germany,Nahe,Gut Hermannsberg,3.9,44,15.65,2018,15,65
Florence Sauvignon Blanc - Chardonnay 2018,South Africa,Stellenbosch,Aaldering,3.9,44,11.5,2018,11,5
Collectors Reserve The Cableway Chardonnay 2018,South Africa,Western Cape,Durbanville Hills,3.8,44,16.99,2018,16,99
Château-Thébaud 2014,France,Muscadet-Sevre et Maine,Pépière,4.0,44,17.06,2014,17,06
Riesling Alsace Grand Cru 'Kitterlé' 2017,France,Alsace Grand Cru 'Kitterle',Domaines Schlumberger,3.9,44,25.24,2017,25,24
Côte de Rouffach Gewürztraminer 2016,France,Alsace,René Muré,3.9,44,15.5,2016,15,5
Graf Morillon 2013,Austria,Südsteiermark,Sepp & Maria Muster,4.0,44,29.5,2013,29,5
Kiechlinsberger Vulkanfelsen Grauerburgunder Trocken 2018,Germany,Baden,Königschaffhausen-Kiechlinsbergen,4.0,44,10.24,2018,10,24
Platin Riesling 2019,Austria,Kamptal,Jurtschitsch,3.6,44,10.09,2019,10,09
Classic Graves Blanc 2016,France,Graves,Château Brondelle,3.6,44,11.95,2016,11,95
Eden Valley Dry Riesling 2015,Australia,Eden Valley,Langmeil,3.6,44,15.5,2015,15,5
1000-Eimerberg Riesling Federspiel 2018,Austria,Wachau,Gritsch Mauritiushof,3.8,44,12.87,2018,12,87
Vis Uvae 2013,Italy,Friuli-Venezia Giulia,Il Carpino,3.7,44,26.77,2013,26,77
Gelber Muskateller 2017,Austria,Burgenland,Leo Hillinger,3.6,44,8.89,2017,8,89
Vermentino 2019,Italy,Salento,Timo,3.9,44,6.95,2019,6,95
Altenberg Alte Reben 2015,Germany,Mosel,Van Volxem,4.1,44,39.95,2015,39,95
Great Expectations Sauvignon Blanc 2019,South Africa,Robertson,Goedverwacht,3.6,44,6.77,2019,6,77
Les Menétrieres Pouilly-Fuissé (Cuvée Hors-Classe) 2016,France,Pouilly-Fuissé,J.A. Ferret,4.4,44,63.06,2016,63,06
Ermitage de l'Orée 2004,France,Hermitage,M. Chapoutier,4.8,44,189.95,2004,189,95
Eins Zu Eins Gewürztraminer 2018,Germany,Pfalz,Weingut A. Diehl,4.0,44,6.8,2018,6,8
Signature Blanc 2019,France,Côtes de Gascogne,Domaine Saint-Lannes,3.7,44,5.95,2019,5,95
Appius 2015,Italy,Südtirol - Alto Adige,St. Michael-Eppan,4.5,44,101.75,2015,101,75
Steinbuckel Riesling GG 2015,Germany,Pfalz,Knipser,4.0,44,31.19,2015,31,19
Chardonnay 2017,South Africa,Western Cape,Laborie,3.1,44,8.49,2017,8,49
Dürnsteiner Kellerberg Riesling Smaragd 2017,Austria,Wachau,F.X. Pichler,4.4,44,59.73,2017,59,73
Châteauneuf-du-Pape La Bernardine Blanc 2016,France,Châteauneuf-du-Pape,M. Chapoutier,3.6,44,33.46,2016,33,46
Les Vieilles Vignes Meursault 2016,France,Meursault,Vincent Girardin,4.0,44,70.3,2016,70,3
Viognier 2019,South Africa,Breede River Valley,Excelsior,3.6,44,6.95,2019,6,95
